X,Y,Time
651.0,275.1,2.1
632.8,252.0,2.1333
616.0,233.8,2.1667
599.9,214.9,2.2
584.5,196.7,2.2333
570.5,181.3,2.2667
555.1,167.3,2.3
540.4,153.3,2.3333
525.0,139.3,2.3667
510.3,127.4,2.4
495.6,116.2,2.4333
480.9,105.7,2.4667
466.9,96.6,2.5
452.2,88.2,2.5333
438.2,81.2,2.5667
423.5,74.2,2.6
409.5,69.3,2.6333
395.5,64.4,2.6667
381.5,60.9,2.7
367.5,58.1,2.7333
353.5,55.3,2.7667
339.5,53.9,2.8
325.5,53.9,2.8333
312.2,54.6,2.8667
298.2,56.0,2.9
284.2,58.1,2.9333
270.9,61.6,2.9667
256.9,65.8,3.0
243.6,71.4,3.0333
230.3,77.7,3.0667
216.3,84.7,3.1
202.3,92.4,3.1333
188.3,100.8,3.1667
175.0,109.9,3.2
161.0,120.4,3.2333
147.0,132.3,3.2667
133.7,144.2,3.3
120.4,157.5,3.3333
105.7,171.5,3.3667
93.8,186.2,3.4
